card_id,card_name,rarity,sets_count,amazon_price,cardmarket_price,coolstuffinc_price,ebay_price,tcgplayer_price,avg_set_price_usd,avg_set_price_zar
14558128,Ash Blossom & Joyous Spring,Common,1,471.16,7.46,81.1,194.22,6.66,27.26,443.04
14558128,Ash Blossom & Joyous Spring,Premium Gold Rare,1,471.16,7.46,81.1,194.22,6.66,29.25,475.39
14558128,Ash Blossom & Joyous Spring,Secret Rare,1,471.16,7.46,81.1,194.22,6.66,98.04,1593.4
14558128,Ash Blossom & Joyous Spring,Super Rare,1,471.16,7.46,81.1,194.22,6.66,29.53,479.94
14558128,Ash Blossom & Joyous Spring,Ultra Rare,3,471.16,7.46,81.1,194.22,6.66,30.43,494.51
89631146,Blue-Eyes White Dragon,Common,5,63.38,1.87,16.09,96.7,2.28,4.21,68.49
89631146,Blue-Eyes White Dragon,Duel Terminal Super Parallel Rare,2,63.38,1.87,16.09,96.7,2.28,2303.6,37439.34
89631146,Blue-Eyes White Dragon,Extra Secret Rare,1,63.38,1.87,16.09,96.7,2.28,0.0,0.0
89631146,Blue-Eyes White Dragon,Ghost/Gold Rare,1,63.38,1.87,16.09,96.7,2.28,244.44,3972.76
89631146,Blue-Eyes White Dragon,Gold Rare,2,63.38,1.87,16.09,96.7,2.28,3.97,64.52
89631146,Blue-Eyes White Dragon,Gold Secret Rare,1,63.38,1.87,16.09,96.7,2.28,44.61,725.02
89631146,Blue-Eyes White Dragon,Premium Gold Rare,1,63.38,1.87,16.09,96.7,2.28,21.96,356.9
89631146,Blue-Eyes White Dragon,Prismatic Secret Rare,3,63.38,1.87,16.09,96.7,2.28,580.25,9430.57
89631146,Blue-Eyes White Dragon,Rare,1,63.38,1.87,16.09,96.7,2.28,103.53,1682.62
89631146,Blue-Eyes White Dragon,Secret Rare,6,63.38,1.87,16.09,96.7,2.28,46.06,748.62
89631146,Blue-Eyes White Dragon,Super Rare,3,63.38,1.87,16.09,96.7,2.28,64.86,1054.19
89631146,Blue-Eyes White Dragon,Ultimate Rare,1,63.38,1.87,16.09,96.7,2.28,17.64,286.69
89631146,Blue-Eyes White Dragon,Ultra Rare,24,63.38,1.87,16.09,96.7,2.28,274.65,4463.72
46986415,Dark Magician,Common,6,234.85,0.37,6.34,16.09,5.36,1.96,31.8
46986415,Dark Magician,Duel Terminal Rare Parallel Rare,2,234.85,0.37,6.34,16.09,5.36,7.39,120.11
46986415,Dark Magician,Extra Secret Rare,1,234.85,0.37,6.34,16.09,5.36,0.0,0.0
46986415,Dark Magician,Ghost Rare,1,234.85,0.37,6.34,16.09,5.36,742.0,12059.36
46986415,Dark Magician,Gold Rare,1,234.85,0.37,6.34,16.09,5.36,5.83,94.75
46986415,Dark Magician,Gold Secret Rare,1,234.85,0.37,6.34,16.09,5.36,8.39,136.36
46986415,Dark Magician,Premium Gold Rare,1,234.85,0.37,6.34,16.09,5.36,11.91,193.57
46986415,Dark Magician,Prismatic Secret Rare,3,234.85,0.37,6.34,16.09,5.36,318.08,5169.6
46986415,Dark Magician,Rare,3,234.85,0.37,6.34,16.09,5.36,28.16,457.67
46986415,Dark Magician,Secret Rare,7,234.85,0.37,6.34,16.09,5.36,20.7,336.45
46986415,Dark Magician,Super Rare,2,234.85,0.37,6.34,16.09,5.36,5.04,81.83
46986415,Dark Magician,Ultimate Rare,1,234.85,0.37,6.34,16.09,5.36,12.75,207.22
46986415,Dark Magician,Ultra Rare,17,234.85,0.37,6.34,16.09,5.36,63.2,1027.11
84211599,Pot of Prosperity,Common,2,28.28,3.73,649.94,649.94,3.25,0.0,0.0
84211599,Pot of Prosperity,Prismatic Secret Rare,1,28.28,3.73,649.94,649.94,3.25,0.0,0.0
84211599,Pot of Prosperity,Starlight Rare,1,28.28,3.73,649.94,649.94,3.25,0.0,0.0
84211599,Pot of Prosperity,Ultra Parallel Rare,1,28.28,3.73,649.94,649.94,3.25,0.0,0.0
84211599,Pot of Prosperity,Ultra Rare,1,28.28,3.73,649.94,649.94,3.25,0.0,0.0
74677426,Red-Eyes Black Dragon,Common,6,43.72,2.8,16.09,48.59,3.74,3.87,62.95
74677426,Red-Eyes Black Dragon,Duel Terminal Rare Parallel Rare,2,43.72,2.8,16.09,48.59,3.74,483.75,7862.15
74677426,Red-Eyes Black Dragon,Premium Gold Rare,1,43.72,2.8,16.09,48.59,3.74,9.72,157.97
74677426,Red-Eyes Black Dragon,Prismatic Secret Rare,1,43.72,2.8,16.09,48.59,3.74,230.0,3738.08
74677426,Red-Eyes Black Dragon,Rare,1,43.72,2.8,16.09,48.59,3.74,12.71,206.57
74677426,Red-Eyes Black Dragon,Secret Rare,2,43.72,2.8,16.09,48.59,3.74,48.22,783.61
74677426,Red-Eyes Black Dragon,Super Rare,2,43.72,2.8,16.09,48.59,3.74,5.42,88.09
74677426,Red-Eyes Black Dragon,Ultra Rare,12,43.72,2.8,16.09,48.59,3.74,121.66,1977.36
